(epoch: 30, iters: 1120, time: 0.007, data: 0.014 ETA:    0:01:28) G_GAN: 2.408 G_L1: 7.247 D_real: 0.089 D_fake: 0.783 
(epoch: 31, iters: 800, time: 0.015, data: 1.351 ETA:    0:02:48) G_GAN: 1.758 G_L1: 7.675 D_real: 0.213 D_fake: 0.264 
(epoch: 32, iters: 480, time: 0.015, data: 0.015 ETA:    0:02:26) G_GAN: 1.768 G_L1: 8.075 D_real: 0.291 D_fake: 0.397 
(epoch: 33, iters: 160, time: 0.014, data: 0.061 ETA:    0:02:18) G_GAN: 1.057 G_L1: 8.085 D_real: 0.877 D_fake: 0.213 
(epoch: 33, iters: 960, time: 0.014, data: 0.008 ETA:    0:02:08) G_GAN: 0.846 G_L1: 8.110 D_real: 0.641 D_fake: 0.189 
(epoch: 34, iters: 640, time: 0.015, data: 0.092 ETA:    0:01:59) G_GAN: 1.432 G_L1: 8.471 D_real: 0.132 D_fake: 0.354 
(epoch: 35, iters: 320, time: 0.014, data: 0.015 ETA:    0:01:48) G_GAN: 1.886 G_L1: 7.863 D_real: 0.137 D_fake: 0.287 
(epoch: 35, iters: 1120, time: 0.007, data: 0.014 ETA:    0:00:53) G_GAN: 1.455 G_L1: 7.887 D_real: 0.294 D_fake: 0.292 
(epoch: 36, iters: 800, time: 0.015, data: 1.397 ETA:    0:01:27) G_GAN: 1.621 G_L1: 8.166 D_real: 0.317 D_fake: 0.239 
(epoch: 37, iters: 480, time: 0.015, data: 0.010 ETA:    0:01:21) G_GAN: 1.537 G_L1: 7.780 D_real: 0.197 D_fake: 0.419 
(epoch: 38, iters: 160, time: 0.014, data: 0.048 ETA:    0:00:56) G_GAN: 1.178 G_L1: 7.260 D_real: 0.260 D_fake: 0.372 
(epoch: 38, iters: 960, time: 0.014, data: 0.006 ETA:    0:00:50) G_GAN: 1.476 G_L1: 7.499 D_real: 0.336 D_fake: 0.226 
(epoch: 39, iters: 640, time: 0.015, data: 0.130 ETA:    0:00:49) G_GAN: 1.783 G_L1: 7.507 D_real: 0.388 D_fake: 0.193 
(epoch: 40, iters: 320, time: 0.014, data: 0.042 ETA:    0:00:26) G_GAN: 1.219 G_L1: 9.565 D_real: 0.486 D_fake: 0.366 
(epoch: 40, iters: 1120, time: 0.007, data: 0.008 ETA:    0:00:10) G_GAN: 1.546 G_L1: 7.970 D_real: 0.387 D_fake: 0.271 
(epoch: 1, iters: 800, time: 0.014, data: 1.395 ETA:    0:10:14) G_GAN: 2.125 G_L1: 21.682 D_real: 0.220 D_fake: 0.441 
(epoch: 2, iters: 480, time: 0.014, data: 0.053 ETA:    0:10:10) G_GAN: 3.560 G_L1: 10.692 D_real: 0.098 D_fake: 0.097 
(epoch: 3, iters: 160, time: 0.015, data: 0.088 ETA:    0:10:31) G_GAN: 2.093 G_L1: 11.351 D_real: 0.952 D_fake: 0.078 
(epoch: 3, iters: 960, time: 0.014, data: 0.016 ETA:    0:10:01) G_GAN: 2.551 G_L1: 11.094 D_real: 0.210 D_fake: 0.514 
(epoch: 4, iters: 640, time: 0.014, data: 0.135 ETA:    0:09:40) G_GAN: 1.078 G_L1: 9.313 D_real: 1.006 D_fake: 0.292 
(epoch: 5, iters: 320, time: 0.014, data: 0.010 ETA:    0:09:31) G_GAN: 1.285 G_L1: 9.010 D_real: 0.430 D_fake: 0.439 
(epoch: 5, iters: 1120, time: 0.007, data: 0.041 ETA:    0:04:47) G_GAN: 1.876 G_L1: 11.117 D_real: 0.501 D_fake: 0.150 
(epoch: 6, iters: 800, time: 0.014, data: 1.193 ETA:    0:09:06) G_GAN: 1.844 G_L1: 8.811 D_real: 0.268 D_fake: 0.237 
(epoch: 7, iters: 480, time: 0.015, data: 0.014 ETA:    0:09:11) G_GAN: 1.286 G_L1: 9.105 D_real: 1.640 D_fake: 0.082 
(epoch: 8, iters: 160, time: 0.015, data: 0.048 ETA:    0:09:00) G_GAN: 1.418 G_L1: 9.352 D_real: 1.101 D_fake: 0.078 
(epoch: 8, iters: 960, time: 0.014, data: 0.010 ETA:    0:08:39) G_GAN: 1.645 G_L1: 10.149 D_real: 0.349 D_fake: 0.673 
(epoch: 9, iters: 640, time: 0.015, data: 0.086 ETA:    0:09:01) G_GAN: 0.995 G_L1: 10.881 D_real: 0.719 D_fake: 0.397 
(epoch: 10, iters: 320, time: 0.015, data: 0.062 ETA:    0:08:30) G_GAN: 2.244 G_L1: 8.804 D_real: 0.170 D_fake: 0.615 
(epoch: 10, iters: 1120, time: 0.007, data: 0.013 ETA:    0:04:07) G_GAN: 1.413 G_L1: 9.392 D_real: 0.567 D_fake: 0.173 
(epoch: 11, iters: 800, time: 0.014, data: 1.195 ETA:    0:07:57) G_GAN: 1.242 G_L1: 8.914 D_real: 0.263 D_fake: 0.264 
(epoch: 12, iters: 480, time: 0.014, data: 0.011 ETA:    0:07:52) G_GAN: 2.035 G_L1: 8.788 D_real: 0.217 D_fake: 0.813 
(epoch: 13, iters: 160, time: 0.016, data: 0.071 ETA:    0:08:08) G_GAN: 1.112 G_L1: 9.283 D_real: 1.227 D_fake: 0.253 
(epoch: 13, iters: 960, time: 0.014, data: 0.071 ETA:    0:07:13) G_GAN: 1.015 G_L1: 9.803 D_real: 0.405 D_fake: 0.392 
(epoch: 14, iters: 640, time: 0.015, data: 0.111 ETA:    0:07:32) G_GAN: 0.967 G_L1: 9.562 D_real: 0.488 D_fake: 0.192 
(epoch: 15, iters: 320, time: 0.015, data: 0.052 ETA:    0:07:31) G_GAN: 1.173 G_L1: 9.731 D_real: 0.399 D_fake: 0.303 
(epoch: 15, iters: 1120, time: 0.006, data: 0.009 ETA:    0:03:01) G_GAN: 0.517 G_L1: 11.247 D_real: 1.167 D_fake: 0.270 
(epoch: 16, iters: 800, time: 0.014, data: 1.271 ETA:    0:06:27) G_GAN: 1.275 G_L1: 8.849 D_real: 0.688 D_fake: 0.122 
(epoch: 17, iters: 480, time: 0.015, data: 0.034 ETA:    0:06:44) G_GAN: 1.702 G_L1: 10.145 D_real: 0.205 D_fake: 0.533 
(epoch: 18, iters: 160, time: 0.015, data: 0.080 ETA:    0:06:26) G_GAN: 1.620 G_L1: 9.191 D_real: 0.409 D_fake: 0.081 
(epoch: 18, iters: 960, time: 0.014, data: 0.087 ETA:    0:06:05) G_GAN: 0.977 G_L1: 9.022 D_real: 0.474 D_fake: 0.398 
(epoch: 19, iters: 640, time: 0.014, data: 0.010 ETA:    0:06:01) G_GAN: 1.385 G_L1: 8.761 D_real: 0.660 D_fake: 0.213 
(epoch: 20, iters: 320, time: 0.014, data: 0.078 ETA:    0:05:41) G_GAN: 2.097 G_L1: 8.959 D_real: 0.182 D_fake: 0.375 
(epoch: 20, iters: 1120, time: 0.006, data: 0.018 ETA:    0:02:28) G_GAN: 1.376 G_L1: 11.346 D_real: 0.327 D_fake: 0.203 
(epoch: 21, iters: 800, time: 0.015, data: 1.355 ETA:    0:05:33) G_GAN: 2.166 G_L1: 8.571 D_real: 0.071 D_fake: 0.852 
(epoch: 22, iters: 480, time: 0.015, data: 0.035 ETA:    0:05:24) G_GAN: 2.488 G_L1: 8.535 D_real: 0.192 D_fake: 0.754 
(epoch: 23, iters: 160, time: 0.015, data: 0.010 ETA:    0:04:51) G_GAN: 1.678 G_L1: 8.665 D_real: 0.354 D_fake: 0.396 
(epoch: 23, iters: 960, time: 0.015, data: 0.014 ETA:    0:05:14) G_GAN: 2.315 G_L1: 10.590 D_real: 0.147 D_fake: 0.398 
(epoch: 24, iters: 640, time: 0.015, data: 0.014 ETA:    0:04:53) G_GAN: 2.873 G_L1: 8.844 D_real: 0.104 D_fake: 0.435 
(epoch: 25, iters: 320, time: 0.014, data: 0.099 ETA:    0:04:19) G_GAN: 0.745 G_L1: 8.533 D_real: 0.620 D_fake: 0.224 
(epoch: 25, iters: 1120, time: 0.007, data: 0.056 ETA:    0:02:08) G_GAN: 0.328 G_L1: 9.810 D_real: 1.234 D_fake: 0.125 
(epoch: 1, iters: 800, time: 0.014, data: 1.266 ETA:    0:30:36) G_GAN: 1.800 G_L1: 22.605 D_real: 0.336 D_fake: 0.316 
(epoch: 2, iters: 480, time: 0.014, data: 0.049 ETA:    0:31:20) G_GAN: 3.413 G_L1: 10.521 D_real: 0.100 D_fake: 0.040 
(epoch: 3, iters: 160, time: 0.014, data: 0.096 ETA:    0:30:42) G_GAN: 4.006 G_L1: 11.297 D_real: 1.357 D_fake: 0.115 
(epoch: 3, iters: 960, time: 0.014, data: 0.089 ETA:    0:30:51) G_GAN: 2.299 G_L1: 11.052 D_real: 0.220 D_fake: 0.361 
(epoch: 4, iters: 640, time: 0.014, data: 0.123 ETA:    0:30:59) G_GAN: 1.453 G_L1: 9.125 D_real: 0.419 D_fake: 0.645 
(epoch: 5, iters: 320, time: 0.015, data: 0.010 ETA:    0:31:05) G_GAN: 1.386 G_L1: 8.569 D_real: 0.438 D_fake: 0.797 
(epoch: 5, iters: 1120, time: 0.007, data: 0.006 ETA:    0:15:29) G_GAN: 1.675 G_L1: 13.118 D_real: 0.195 D_fake: 0.939 
(epoch: 6, iters: 800, time: 0.015, data: 1.197 ETA:    0:31:24) G_GAN: 2.210 G_L1: 11.167 D_real: 0.220 D_fake: 0.199 
(epoch: 7, iters: 480, time: 0.014, data: 0.098 ETA:    0:29:07) G_GAN: 2.495 G_L1: 9.132 D_real: 0.136 D_fake: 1.124 
(epoch: 8, iters: 160, time: 0.015, data: 0.043 ETA:    0:31:51) G_GAN: 0.776 G_L1: 9.690 D_real: 1.550 D_fake: 0.092 
(epoch: 8, iters: 960, time: 0.014, data: 0.009 ETA:    0:29:39) G_GAN: 1.624 G_L1: 10.272 D_real: 0.535 D_fake: 0.186 
(epoch: 9, iters: 640, time: 0.015, data: 0.117 ETA:    0:30:30) G_GAN: 1.479 G_L1: 10.863 D_real: 0.882 D_fake: 0.224 
